0,          1    0
1,          0    0
3,          0    0
7,          0    0
15,         0    1
31,         0    0
63,         0    0
127,        0    2
255,        0    1
511,        0    1
1023,       0    1
2047,       0    0
4095,       0    1
8191,       1    1
16383,      1    0
32767,      0    1
65535,      0    1
131071,     1    2
262143,     0    1
524287,     0    1
1048575,    1    1
2097151,    1    2
4194303,    3    3
8388607,    9    7
16777215,   18   17
33554431,   36   33
67108863,   92   58
134217727,  205  112
268435455,  273  218
536870911,  493  436
1073741823, 1363 866
